variance,cycle_life
9.67E-06,1852
9.69E-06,2160
1.83E-05,2237
3.61E-05,1434
2.25E-05,1709
6.63E-05,1074
0.00017043,636
0.0001538,870
8.73E-05,1054
7.14E-05,788
9.00E-05,880
9.60E-05,719
7.96E-05,862
0.00010722,857
0.00022405,691
0.00024017,788
0.00042973,534
0.00044678,559
9.11E-05,1014
0.00011528,1017
9.39E-05,854
0.0001604,870
0.00014019,842
0.00014313,860
0.00014526,917
0.00018019,709
0.00016699,876
0.00022593,731
0.00021547,757
0.00014185,742
0.00016898,703
0.00021426,704
0.00021208,648
0.00036931,617
0.00031326,625
8.82E-05,966
8.49E-05,1051
0.00021606,702
0.00021511,651
0.00037996,616
0.00037596,599
0.0017977,300
0.0018773,148
0.0003215,438
0.0011773,335
0.00044507,444
0.00024988,480
0.00057022,511
0.00023666,561
0.00034492,477
0.00047899,458
0.00065406,483
0.00031746,485
0.00037277,494
0.00029702,487
0.00048354,461
0.00019033,502
0.00029778,489
0.00027931,513
0.00029797,527
0.00020167,495
0.00035316,461
0.00039199,471
0.00027455,468
0.00030071,509
0.00019567,498
0.00024868,481
0.00023625,492
0.00032611,519
0.0002074,520
0.00019815,499
0.00032528,463
0.00027314,535
0.00030012,478
0.0002912,465
0.00031249,459
0.00027579,499
0.00036421,429
0.0002589,466
0.00040315,462
0.00035306,457
0.00020512,487
0.00042805,429
9.26E-05,713
5.69E-05,1009
5.19E-05,1063
7.65E-05,1115
6.64E-05,1048
7.69E-05,828
0.00029835,667
3.25E-05,1836
8.10E-05,828
0.00010426,1039
3.88E-05,1078
0.00013047,817
0.00011315,932
8.05E-05,816
0.00010018,858
9.99E-05,876
2.02E-05,1638
3.64E-05,1315
5.58E-05,1146
6.74E-05,1155
8.59E-05,813
0.00019775,772
8.99E-05,1002
7.00E-05,825
7.14E-05,989
6.04E-05,1028
7.42E-05,850
0.00035382,541
8.65E-05,858
7.95E-05,935
0.00014482,731
4.02E-05,1284
4.95E-05,1158
5.83E-05,1093
5.58E-05,923
4.55E-05,1935
3.51E-05,1156
5.07E-05,796
6.04E-05,786
7.40E-05,940
3.02E-05,1801
